,Filename,RelFreq X,RelFreq NUM,RelFreq SPACE,RelFreq NOUN,RelFreq PROPN,RelFreq CCONJ,RelFreq ADJ,RelFreq PUNCT,RelFreq SCONJ,RelFreq ADV,RelFreq AUX,RelFreq VERB,RelFreq ADP,RelFreq DET,RelFreq PRON,RelFreq PART,RelFreq INTJ,No. Unique PER,No. Unique LOC,No. Unique ORG,RelFreq SYM
238,2016.a3.txt,0.00909090909090909,0.012121212121212121,0.006060606060606061,0.2222222222222222,0.04242424242424243,0.028282828282828285,0.046464646464646465,0.11414141414141414,0.023232323232323233,0.03333333333333333,0.07575757575757576,0.09393939393939393,0.10505050505050505,0.10606060606060606,0.051515151515151514,0.030303030303030304,,0,0,8,
239,1041.a3.txt,0.010638297872340425,0.008274231678486997,0.014184397163120567,0.17848699763593381,0.026004728132387706,0.034278959810874705,0.05673758865248227,0.1016548463356974,0.031914893617021274,0.034278959810874705,0.05673758865248227,0.12174940898345153,0.09810874704491726,0.08392434988179669,0.10874704491725769,0.03309692671394799,,0,0,0,0.001182033096926714
240,4010.a3.txt,0.008866995073891626,0.0187192118226601,0.007881773399014778,0.15172413793103448,0.008866995073891626,0.0374384236453202,0.0729064039408867,0.07192118226600985,0.03940886699507389,0.06403940886699508,0.07684729064039408,0.12118226600985221,0.08472906403940887,0.060098522167487685,0.13891625615763548,0.034482758620689655,0.0009852216748768472,0,0,0,0.0009852216748768472
241,4024.a3.txt,0.010101010101010102,0.007856341189674524,0.019079685746352413,0.1717171717171717,0.03591470258136925,0.026936026936026935,0.08417508417508418,0.10886644219977554,0.03254769921436588,0.05499438832772166,0.06060606060606061,0.10213243546576879,0.10325476992143659,0.06734006734006734,0.08754208754208755,0.026936026936026935,,0,0,4,
242,0119.a3.txt,0.010856453558504222,0.0048250904704463205,0.016887816646562123,0.20989143546441497,0.014475271411338963,0.032569360675512665,0.07117008443908324,0.09047044632086852,0.027744270205066344,0.045838359469240045,0.07117008443908324,0.10735826296743065,0.10012062726176116,0.07961399276236429,0.06875753920386007,0.04825090470446321,,0,0,2,
243,2000.a3.txt,0.009685230024213076,0.004842615012106538,0.013317191283292978,0.21549636803874092,0.009685230024213076,0.039951573849878935,0.06416464891041163,0.11501210653753027,0.013317191283292978,0.03026634382566586,0.06658595641646489,0.08837772397094432,0.10653753026634383,0.11138014527845036,0.07384987893462469,0.03268765133171913,,0,0,0,0.004842615012106538
244,1014.a3.txt,0.012413793103448275,0.001379310344827586,0.013793103448275862,0.21241379310344827,0.011034482758620689,0.016551724137931035,0.06344827586206897,0.10206896551724139,0.022068965517241378,0.031724137931034485,0.0703448275862069,0.10620689655172413,0.12137931034482759,0.09793103448275862,0.08275862068965517,0.034482758620689655,,0,0,2,
245,5005.a3.txt,0.010843373493975903,0.018072289156626505,0.010843373493975903,0.1891566265060241,0.010843373493975903,0.021686746987951807,0.06144578313253012,0.10481927710843374,0.03132530120481928,0.05542168674698795,0.07349397590361446,0.11686746987951807,0.0963855421686747,0.07951807228915662,0.0819277108433735,0.03734939759036145,,0,0,0,
246,2074.a3.txt,0.01256281407035176,0.0037688442211055275,0.007537688442211055,0.19974874371859297,0.035175879396984924,0.031407035175879394,0.07537688442211055,0.09045226130653267,0.017587939698492462,0.05025125628140704,0.06281407035175879,0.10678391959798995,0.08542713567839195,0.09547738693467336,0.08040201005025126,0.04522613065326633,,0,1,5,
247,2026.a3.txt,0.010273972602739725,0.005707762557077625,0.007990867579908675,0.17009132420091325,0.007990867579908675,0.0273972602739726,0.05251141552511415,0.09703196347031963,0.03995433789954338,0.04908675799086758,0.09817351598173515,0.11529680365296803,0.091324200913242,0.08789954337899543,0.09817351598173515,0.03881278538812785,,0,0,0,0.00228310502283105
248,1022.a3.txt,0.012064343163538873,0.005361930294906166,0.00804289544235925,0.21849865951742628,0.00938337801608579,0.01742627345844504,0.07104557640750671,0.05630026809651475,0.030831099195710455,0.0388739946380697,0.06836461126005362,0.12198391420911528,0.12198391420911528,0.08579088471849866,0.07640750670241286,0.057640750670241284,,0,0,1,
249,0122.a3.txt,0.010882708585247884,0.0048367593712212815,0.007255139056831923,0.23216444981862153,0.007255139056831923,0.020556227327690448,0.06771463119709795,0.0761789600967352,0.0471584038694075,0.045949214026602174,0.08101571946795647,0.11003627569528417,0.09310761789600967,0.07496977025392987,0.08343409915356712,0.037484885126964934,,0,0,1,
250,4047.a3.txt,0.0136986301369863,0.0049813200498132005,0.008717310087173101,0.1569115815691158,0.008717310087173101,0.047322540473225407,0.0684931506849315,0.08343711083437111,0.034869240348692404,0.074719800747198,0.0784557907845579,0.12204234122042341,0.09090909090909091,0.057285180572851806,0.11830635118306351,0.031133250311332503,,0,0,2,
251,2058.a3.txt,0.00974025974025974,0.006493506493506494,0.00974025974025974,0.1937229437229437,0.0183982683982684,0.025974025974025976,0.05735930735930736,0.12445887445887446,0.02813852813852814,0.06168831168831169,0.08008658008658008,0.10822510822510822,0.09632034632034632,0.07792207792207792,0.07467532467532467,0.027056277056277056,,0,0,4,
252,0221.a3.txt,0.012569832402234637,0.004189944134078212,0.009776536312849162,0.1871508379888268,0.00558659217877095,0.029329608938547486,0.05726256983240224,0.06564245810055866,0.04329608938547486,0.03212290502793296,0.07541899441340782,0.12569832402234637,0.08659217877094973,0.09078212290502793,0.12988826815642457,0.0446927374301676,,0,0,0,
253,2036.a3.txt,0.009922822491730982,0.009922822491730982,0.008820286659316428,0.17199558985667035,0.009922822491730982,0.03528114663726571,0.050716648291069456,0.0804851157662624,0.030871003307607496,0.06063947078280044,0.07938257993384785,0.1113561190738699,0.0970231532524807,0.0970231532524807,0.10033076074972437,0.04299889746416759,0.0033076074972436605,0,0,2,
254,4039.a3.txt,0.011826544021024968,0.009198423127463863,0.010512483574244415,0.16819973718791065,,0.02102496714848883,0.0657030223390276,0.09855453350854139,0.024967148488830485,0.06176084099868594,0.08541392904073587,0.13272010512483573,0.06307490144546649,0.06044678055190539,0.13272010512483573,0.05387647831800263,,0,0,0,
255,0162.a3.txt,0.011235955056179775,0.004993757802746567,0.009987515605493134,0.23220973782771537,0.004993757802746567,0.03620474406991261,0.0749063670411985,0.08364544319600499,0.02247191011235955,0.039950062421972535,0.07615480649188515,0.08489388264669163,0.10237203495630462,0.11860174781523096,0.06491885143570537,0.031210986267166042,0.0012484394506866417,0,0,0,
